0,Score
orate,5057
arose,5041
later,5023
alert,5023
alter,5023
aster,5011
stare,5011
lares,5007
irate,4951
raise,4935
arise,4935
steal,4923
least,4923
slate,4923
stale,4923
renal,4856
learn,4856
aisle,4847
snare,4844
atone,4806
alone,4802
cater,4760
trace,4760
crate,4760
carte,4760
caret,4760
clear,4756
scare,4744
alien,4696
anise,4684
store,4673
eclat,4672
cleat,4672
caste,4660
earth,4658
hater,4658
heart,4658
opera,4657
scale,4656
adore,4651
share,4642
shear,4642
taper,4627
pater,4627
saute,4625
pearl,4623
tread,4621
dater,4621
trade,4621
alder,4617
parse,4611
spare,4611
spear,4611
osier,4597
crane,4593
mater,4589
stole,4585
realm,4585
yates,4580
yeast,4580
smear,4573
maser,4573
lathe,4570
haste,4558
leash,4554
grate,4554
shale,4554
great,4554
glare,4550
lager,4550
large,4550
regal,4550
leapt,4539
ocean,4539
pleat,4539
canoe,4539
petal,4539
plate,4539
roast,4536
blare,4536
dealt,4533
delta,4533
solar,4532
paste,4527
spate,4527
septa,4527
sepal,4523
lapse,4523
tenor,4522
stead,4521
yearn,4513
senor,4506
snore,4506
lance,4505
clean,4505
metal,4501
steam,4489
stile,4479
islet,4479
ratio,4476
stern,4476
ideal,4457
gates,4454
stage,4454
bleat,4452
table,4452
sepia,4451
flare,4450
aside,4445
aides,4445
trial,4442
trail,4442
baste,4440
beast,4440
sable,4436
stair,4430
seton,4422
onset,4422
stone,4422
inert,4416
inter,4416
water,4411
neath,4407
score,4406
anode,4400
rinse,4400
siren,4400
risen,4400
swear,4395
ashen,4391
reach,4391
agile,4390
anger,4387
range,4387
route,4387
aegis,4378
afire,4378
crest,4376
acute,4374
avert,4373
penal,4372
plane,4372
panel,4372
rouse,4371
arson,4369
sonar,4369
ravel,4369
velar,4369
fetal,4366
laden,4366
caper,4360
aspen,4360
sauce,4358
cause,4358
feast,4354
cadre,4354
sedan,4354
cedar,4354
stake,4348
steak,4348
skate,4348
noise,4346
slake,4344
trans,4339
meant,4338
snarl,4335
genoa,4333
agone,4333
inlet,4328
manse,4322
cream,4322
coset,4322
other,4320
ovate,4319
close,4318
inset,4316
stein,4316
relic,4312
waste,4311
sweat,4311
tyler,4308
cheat,4307
teach,4307
shore,4304
horse,4304
leach,4303
agent,4303
glean,4299
angle,4299
angel,4299
tonal,4297
talon,4297
diane,4294
chase,4291
grace,4287
santo,4285
valet,4285
actor,4285
alike,4284
louse,4283
carol,4281
sloan,4281
coral,4281
salon,4281
intra,4279
train,4279
ready,4274
prose,4273
spore,4273
stave,4273
brace,4273
place,4272
cadet,4270
oscar,4269
salve,4269
cameo,4268
decal,4266
extra,4265
space,4260
crone,4255
argue,4252
heard,4252
auger,4252
metro,4251
slant,4251
waite,4251
morel,4247
morse,4235
camel,4234
riley,4232
hotel,4232
oaken,4227
pause,4225
emacs,4222
padre,4221
drape,4221
those,4220
harem,4220
ethos,4220
ultra,4216
their,4214
terra,4213
vitae,4213
treat,4213
eater,4213
rater,4213
tater,4213
slice,4212
alive,4209
style,4208
raven,4206
royal,4201
gorse,4200
shire,4198
erase,4197
taken,4197
octal,4197
utile,4193
ankle,4193
zaire,4192
estop,4189
amuse,4187
farce,4187
delay,4186
sober,4186
slope,4185
cable,4185
coast,4185
costa,4185
tripe,4183
petri,4183
dream,4183
torah,4183
suite,4181
creak,4181
snake,4181
sneak,4181
satin,4179
saint,4179
stain,4179
peril,4179
exalt,4177
latex,4177
moire,4175
snail,4175
slain,4175
nurse,4174
aleph,4170
death,4168
spire,4167
clone,4167
texas,4165
motel,4163
satyr,4159
adieu,4159
stray,4159
phase,4158
shape,4158
meaty,4158
slept,4155
mealy,4154
grape,4154
heron,4153
novae,4152
usage,4152
shade,4152
hades,4152
smote,4151
polar,4148
grade,4148
remit,4145
entry,4145
mitre,4145
merit,4145
oases,4143
seamy,4142
abuse,4138
trash,4137
adept,4137
aerie,4137
bread,4134
debar,4134
beard,4134
plead,4133
pedal,4133
miser,4129
lithe,4126
elate,4125
scent,4125
prone,4122
spade,4121
shame,4120
navel,4118
acorn,4118
venal,4118
smelt,4117
talus,4116
drone,4116
latus,4116
forte,4116
sault,4116
urine,4114
amort,4114
inure,4114
poise,4113
taste,4113
tease,4113
state,4113
asset,4113
molar,4110
moral,4110
tiger,4110
salle,4109
lease,4109
easel,4109
pecan,4109
faery,4107
strap,4106
crave,4106
carve,4106
facet,4103
dance,4103
amber,4102
bream,4102
ample,4101
maple,4101
fecal,4099
tribe,4096
medal,4095
loath,4095
aleck,4093
truce,4090
tilde,4089
loris,4088
bathe,4087
ulcer,4086
lucre,4086
trend,4086
cruel,4086
spite,4083
adobe,4080
abode,4080
shoal,4079
groat,4079
argot,4079
gator,4079
corey,4075
curse,4074
sidle,4073
wrote,4073
tower,4073
slide,4073
salty,4071
radio,4070
blest,4068
smart,4068
barge,4067
abort,4065
weary,4064
omega,4062
lobar,4061
glade,4060
hyena,4060
worse,4057
swore,4057
shone,4053
chore,4053
since,4049
negro,4049
lunar,4049
degas,4048
rhine,4047
blade,4046
tapir,4046
arena,4046
naive,4046
smite,4045
drake,4042
smile,4041
slime,4041
miles,4041
triad,4040
borne,4035
overt,4035
canto,4034
acton,4034
unite,4030
paris,4030
olden,4028
gleam,4028
wrest,4027
amide,4023
media,4023
chert,4023
retch,4023
leafy,4019
servo,4019
calve,4018
splat,4018
frame,4016
credo,4016
decor,4016
ripen,4016
amble,4014
curie,4014
blame,4014
leaky,4013
cairn,4012
laity,4011
stoke,4010
rifle,4006
dewar,4005
brent,4005
craze,4001
snort,4001
monte,4000
lemon,3996
melon,3996
serif,3994
patio,3992
crept,3992
spent,3992
gloat,3991
scant,3988
paoli,3988
sheaf,3985
owlet,3985
towel,3985
apron,3985
meson,3984
value,3983
begat,3983
gable,3979
shake,3979
radon,3979
adorn,3979
bloat,3977
flora,3975
abide,3974
usher,3972
suave,3971
grail,3969
write,3967
azure,3966
boast,3965
thine,3963
anent,3962
eaten,3962
break,3961
brake,3961
plait,3958
wheat,3958
erupt,3957
image,3956
libra,3955
whale,3954
chose,3953
tidal,3952
freon,3949
speak,3948
shine,3947
norma,3947
manor,3947
roman,3947
noble,3947
tapis,3946
reign,3943
niger,3943
super,3941
sprue,3941
purse,3941
staid,3940
swelt,3939
stove,3935
amend,3932
inept,3932
rainy,3932
blast,3931
solve,3931
rivet,3929
brine,3929
dolce,3928
flame,3928
antic,3928
stark,3927
livre,3925
chest,3923
decay,3923
scope,3922
filet,3922
house,3918
price,3916
snipe,3916
roach,3916
penis,3916
halve,3916
spine,3916
lemur,3915
exact,3914
horde,3914
rogue,3914
rouge,3914
organ,3912
groan,3912
argon,3912
cider,3910
nasty,3908
tansy,3908
cheap,3907
peach,3907
biota,3905
shave,3904
serum,3903
trawl,3902
grave,3900
comet,3900
baron,3898
scary,3892
aloft,3891
nodal,3891
float,3891
straw,3890
swart,3890
chart,3886
inane,3886
brave,3886
copra,3885
pedro,3883
larch,3882
grant,3882
douse,3881
luger,3880
fable,3879
draco,3879
gnarl,3878
crime,3878
auric,3877
curia,3877
otter,3875
freak,3875
bleak,3873
nadir,3873
drain,3873
olive,3871
brute,3870
buret,3870
crash,3870
ounce,3869
frail,3869
tuple,3869
flair,3869
shred,3868
brant,3868
surge,3868
plant,3867
torus,3866
often,3865
mange,3865
lewis,3863
ethic,3863
felon,3861
chile,3859
token,3859
tinge,3859
setup,3857
upset,3857
equal,3856
cagey,3856
basil,3855
ethyl,3855
pulse,3853
force,3849
mouse,3849
stand,3849
yodel,3848
dulse,3847
macro,3847
mason,3847
cease,3846
inlay,3844
infer,3843
singe,3843
sepoy,3842
poesy,3842
posey,3842
extol,3839
stalk,3839
scrap,3839
scarp,3839
wafer,3838
surah,3835
uncle,3835
wreak,3832
above,3832
ester,3829
terse,3829
steer,3829
tress,3829
tango,3828
edict,3826
levis,3825
piano,3825
knelt,3825
anglo,3824
logan,3824
coney,3824
along,3824
beryl,3821
heady,3821
story,3821
beach,3820
chaos,3816
spice,3816
grope,3816
buteo,3816
began,3816
baton,3814
paper,3813
cargo,3812
gavel,3812
hazel,3811
volta,3810
chair,3810
clerk,3809
dread,3807
grain,3806
sperm,3805
supra,3804
scaly,3804
berth,3803
cohen,3802
probe,3802
scram,3801
short,3799
depot,3799
carob,3798
latch,3798
cobra,3798
graze,3795
inapt,3795
paint,3795
salvo,3794
brain,3792
naked,3791
knead,3791
plain,3791
clime,3790
prune,3790
rival,3788
viral,3788
amino,3787
lotte,3787
flake,3787
guest,3784
under,3784
clash,3782
angst,3782
bluet,3782
zebra,3781
novel,3780
gules,3780
spain,3779
lotus,3778
alley,3778
mural,3778
awoke,3778
slang,3778
glans,3778
hoard,3777
pride,3777
henry,3776
party,3775
acrid,3773
loess,3771
ponce,3771
loose,3771
trite,3769
foyer,3769
tardy,3769
cover,3768
strop,3768
sport,3768
bract,3768
mayor,3767
tempo,3767
essay,3766
riven,3762
screw,3760
snark,3760
theta,3760
heath,3760
feint,3759
spray,3759
model,3757
aloud,3756
ileum,3755
elfin,3755
haven,3753
rumen,3752
piety,3752
clasp,3751
scalp,3751
liken,3749
ralph,3749
tweak,3748
fovea,3746
deity,3746
prime,3745
scald,3745
yield,3742
steel,3741
sleet,3741
stoic,3741
agree,3740
eager,3740
aorta,3738
sharp,3737
skein,3737
flyer,3735
chafe,3734
viola,3734
scorn,3734
mylar,3733
askew,3732
argus,3731
sugar,3731
shard,3731
cleft,3731
waist,3730
hairy,3730
storm,3730
barre,3726
adult,3726
lapel,3725
apple,3725
lodge,3722
honey,3722
giant,3722
exist,3721
stupa,3720
guile,3720
